微博ID,内容,是否原创,发布时间,发布工具,点赞数,转发数,评论数,发布位置,图片URL,视频URL
Qyv8DtajH,置身于米兰露台，漫步在巴黎街头，穿梭在上海弄堂里，与我一起寻找「记忆中的咖啡馆」。才发现，挚爱那杯就在#德龙居家咖啡馆#。于方寸之间，便知家中这杯，更胜万千风味！4月13日至19日意大利德龙超级品牌日，全自动咖啡机S9小白机全新上市，前往【德龙官方旗舰店】网页链接，探索专属...全文,原创,2026-03-30 18:01,微博视频号,40185,12405,6840,,无,无
QxJQFvkfM,#电影森中有林定档# 由郑执编剧&导演的电影《森中有林》官宣定档5月1日全国上映。定档预告曝光演员阵容：于和伟、高圆圆、韩庚、张天爱领衔主演，乔杉特别出演，夏之光主演。预告中，廉加海（于和伟 饰）与昔日恋人王秀义（高圆圆 饰）重逢，流动的暧昧与隐秘的欲望背后却暗藏危险气息。影片改编自郑执...全文,转发,2026-03-25 17:37,,14478,598,1134,,https://h5.sinaimg.cn/upload/2016/05/26/319/5337.gif,无
QxHlIaoZH,演员的A，在时间里慢慢打磨。啤酒的A，在麦香中静静沉淀。我与@燕京啤酒 A10，用同一种执着，诠释纯粹、匠心与经典。燕京A10上市，这杯全麦特酿，敬所有心中有A的人。#燕京A10上市发布会##燕京A10高端新品上市##燕京A10全麦特酿醇厚爽口#燕京啤酒的微博视频 ,原创,2026-03-25 11:16,微博视频号,34179,16476,7446,,无,https://m.weibo.cn/s/video/show?object_id=1034:5277882193477681&fromWap=1
Qxsao3nMp,#中国首部踢踏舞剧北京首演# 踏响高原韵律，舞动非遗风华，中国首部踢踏舞剧《扎西夏卓》晋京首演！3月28—29日，中央歌剧院，共赴一场震撼心灵的视听盛宴！ ,转发,2026-03-23 20:37,,14648,650,1142,,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无
QxnZOCRE7,#对酒当歌燕京A10深度解析# 与 @燕京啤酒 董事长耿超对谈，解锁我偏爱的燕京A10背后的匠心工艺。三年打磨，七百项标准优化，全麦酿造低温慢酿，才成就这口醇厚与爽口的完美平衡。 #燕京A10全麦特酿醇厚爽口##燕京A10中国人自己的高端拉格#燕京啤酒的微博视频 ,原创,2026-03-23 10:00,微博视频号,28538,12240,6452,,无,https://m.weibo.cn/s/video/show?object_id=1034:5278482637455367&fromWap=1
Qx5VuELEj,业务熟练，口碑保密。保姆叶晓霖，今天上工。#电影长夜将尽上映# ,转发,2026-03-21 11:59,,16618,524,1012,,https://h5.sinaimg.cn/upload/2016/05/26/319/5338.gif,无
QwVKFu66e,#举杯燕京共度春分# 偏爱春分，是“明”——日月相“半”，不盈不亏，步履不停，明日可期。因昼夜相衡，更因微光向暖，万物生长。春分麦起身，时不我待，机会已至，沉心实干，美好自会如期而至。@燕京啤酒 #春分麦起身 一刻值千金#燕京啤酒的微博视频 ,原创,2026-03-20 10:05,微博视频号,34040,13843,7133,,无,https://m.weibo.cn/s/video/show?object_id=1034:5278236540862482&fromWap=1
Qv7qoebP2,#这是生命树的现实版续集#【#生命树致敬最真实的坚守#】今年#两会#，@杨紫 @胡歌 等主演的总台电视剧《生命树》引发热议。这部剧热播的背后，是三江源人最真实的坚守。他们在风雪中逆行，在荒原上扎根，一代又一代接力守护。如今，藏羚羊从不到2万只恢复到7万多只，雪豹种群数量超过1200只，三江源...全文,转发,2026-03-08 12:08,,18996,1359,2236,,https://h5.sinaimg.cn/upload/2016/05/26/319/5337.gif,无
QtFJvlmPp,继中国大陆、中国港台、西班牙、葡萄牙、韩国、北美之后，2月26日起，《繁花》将在拉丁美洲、德国、奥地利、瑞士、法国、意大利、土耳其、比利时、荷兰、卢森堡、印度等多个国家及地区，登陆流媒体平台MUBI上线播出。向世界讲述中国故事，展现意义非凡时代图景。繁花出海，步履不停，未来将在更多国...全文,转发,2026-02-26 23:48,,22899,2031,2831,,https://h5.sinaimg.cn/upload/2016/05/26/319/5337.gif,无
QsA7cd9Ss,这辈子，来过，活过，守过。在这片高原上走了几十年，该见的都见了——无人区的风雪，帐篷里的灯火，一张张年轻的脸，从生涩走到沉稳。如今退下来，站在山脚下看着他们进山出山，看着自己的背影，慢慢走成了后来人的路。说不牵挂是假的，但更多的是踏实。山认识他们，他们也认了这座山。这就够...全文,原创,2026-02-19 19:39,,68521,9030,10186,,https://wx1.sinaimg.cn/wap180/001kMkx0ly1iag4agsw7dj66aa34gnpd02.jpg,无
